username, created_at, lng, lat, text
ELI5AMEND0ZA, Tue Jan 26 06:08:44 +0000 2021, -98.239328, 27.760312, @_XoMeris of course! can’t wait 🤠 
GE0V4NNI, Tue Jan 26 06:08:44 +0000 2021, -97.935192, 29.895606, Eating my first meal of the day rn 
Turbofargo, Tue Jan 26 06:08:44 +0000 2021, -117.363067, 34.531222, The #Rams are getting a lot of subtraction lately, hopefully will hear of some quality additions fairly soon. Make the bad news stop! 
SCFiebre, Tue Jan 26 06:08:44 +0000 2021, -117.603783, 34.045158, "Here's incredible pre-draft footage of Kobe Bryant few knew existed"  https://t.co/YXZntoo13e 
AOSpeedwagon, Tue Jan 26 06:08:44 +0000 2021, -117.104989, 32.810012, @ItionoBen @MasterTP1 I have a dope cyber dragons build that’s been tearing ass. Big recommend 
curmudgley, Tue Jan 26 06:08:44 +0000 2021, -121.947291, 36.997949, @lilsarg @Popehat jesus fucking christ 
Morbydly__Obese, Tue Jan 26 06:08:45 +0000 2021, -119.175940, 46.199292, @tj_rea6 i’m slacking. Do they exist? I can’t exclude my fellow Gluten-free/celiac friends or guests. Imagine comin… https://t.co/GDM0MOYkI4 
KathrynTakis, Tue Jan 26 06:08:45 +0000 2021, -118.397222, 33.864836, @LtUhura2017 Shitheads 
mystdiva, Tue Jan 26 06:08:55 +0000 2021, -118.411907, 34.020789, Now you in love bitch? Oh that’s wassup bitch, you dumb cause now you stuck bitch 🗣 
wallyworld24, Tue Jan 26 06:08:55 +0000 2021, -71.110820, 42.424952, As a 13yr catholic school vet a podcast dicussing religion ALONG with stories of @UncleChaps the YOUTH MINISTER and… https://t.co/gjFS4fahSk 
KSK______, Tue Jan 26 06:08:56 +0000 2021, -83.771686, 31.963553, When I get my own nigga Ain gone know how to act 🤣🥰 
Xyzaiah, Tue Jan 26 06:08:56 +0000 2021, -98.319925, 38.498196, The interest and dangers of a wandering mind. 
DreLee863, Tue Jan 26 06:08:56 +0000 2021, -83.804475, 27.698682, @GoldMoonz or could be bigger than amazon 🤫i read something that say in 15 years humans could be living in space,… https://t.co/fr1KdN9oYr 
AlexsRuiz, Tue Jan 26 06:08:56 +0000 2021, -111.498181, 28.969863, ¿De que se va a quejar el Benja hoy?🍅 
Estefany_rt19, Tue Jan 26 06:08:56 +0000 2021, -80.233328, 25.782353, @Rafabusp_ Mira donde estoy, ridi 
ItzayanaCarrera, Tue Jan 26 06:08:56 +0000 2021, -114.296519, 31.992337, Ya podre dormir agusto, @ClubNaranjeros ganando como siempre 😌🥳🍊 
